forcing,attribute,correlation
VP,soil_porosity,-0.029490751895363175
VP,soil_conductivity,0.07529542397644315
VP,max_water_content,-0.026338954147466065
VP,sand_frac,0.08023687264559165
VP,silt_frac,0.07035134282676414
VP,clay_frac,-0.22366415882179042
VP,water_frac,0.03239694832594176
VP,organic_frac,0.018589541669495443
VP,other_frac,0.19951482775065182
VP,elev_mean,0.32384032760195675
VP,slope_mean,0.37664173686225855
VP,area_gages2,0.006473633266804626
VP,area_geospa_fabric,0.0057995177621590534
VP,frac_forest,0.2181062726180738
VP,lai_max,0.0040079581811600035
VP,lai_diff,-0.025415582009774142
VP,gvf_max,0.002960742179518142
VP,gvf_diff,-0.08707169697702428
VP,dom_land_cover_frac,0.08041568200214225
VP,root_depth_50,-0.10279078931499705
VP,root_depth_99,-0.06558116085624141
