category,count,mean,median,std,forcing,lag_column,category_attribute
    Croplands,63,11.19047619047619,12.0,9.764744257518808,SRAD,SRAD_peak_lag,dom_land_cover
    Deciduous Broadleaf Forest,122,9.737704918032787,3.0,10.386580088206895,SRAD,SRAD_peak_lag,dom_land_cover
    Evergreen Broadleaf Forest,5,6.0,1.0,10.63014581273465,SRAD,SRAD_peak_lag,dom_land_cover
    Evergreen Needleleaf Forest,110,2.918181818181818,1.0,5.237710505820807,SRAD,SRAD_peak_lag,dom_land_cover
    Grasslands,110,7.745454545454545,2.0,9.65404926560278,SRAD,SRAD_peak_lag,dom_land_cover
    Mixed Forests,89,4.224719101123595,1.0,6.506557547073645,SRAD,SRAD_peak_lag,dom_land_cover
    Open Shrublands,11,5.181818181818182,1.0,8.41211247925492,SRAD,SRAD_peak_lag,dom_land_cover
    Savannas,5,5.4,1.0,9.838699100999076,SRAD,SRAD_peak_lag,dom_land_cover
    Woody Savannas,64,2.78125,1.0,5.66097403139486,SRAD,SRAD_peak_lag,dom_land_cover
    cropland/natural vegetation mosaic,87,7.735632183908046,1.0,9.640587372478608,SRAD,SRAD_peak_lag,dom_land_cover
    Barren or Sparsely Vegetated,1,1.0,1.0,,Tair,Tair_peak_lag,dom_land_cover
    Closed Shrublands,4,11.5,7.0,12.583057392117915,Tair,Tair_peak_lag,dom_land_cover
    Croplands,63,16.174603174603174,16.0,9.462216344305459,Tair,Tair_peak_lag,dom_land_cover
    Deciduous Broadleaf Forest,122,18.69672131147541,22.0,8.863416635283286,Tair,Tair_peak_lag,dom_land_cover
    Evergreen Broadleaf Forest,5,19.6,21.0,9.071934744033381,Tair,Tair_peak_lag,dom_land_cover
    Evergreen Needleleaf Forest,110,7.945454545454545,6.0,7.3270096828385824,Tair,Tair_peak_lag,dom_land_cover
    Grasslands,110,10.063636363636364,5.5,9.795409215618195,Tair,Tair_peak_lag,dom_land_cover
    Mixed Forests,89,13.96629213483146,13.0,10.116873212386603,Tair,Tair_peak_lag,dom_land_cover
    Open Shrublands,11,16.0,22.0,11.815244390193541,Tair,Tair_peak_lag,dom_land_cover
    Savannas,5,17.0,19.0,9.027735042633894,Tair,Tair_peak_lag,dom_land_cover
    Woody Savannas,64,15.1875,15.5,10.093019747283149,Tair,Tair_peak_lag,dom_land_cover
    cropland/natural vegetation mosaic,87,16.298850574712645,16.0,9.30630561742168,Tair,Tair_peak_lag,dom_land_cover
    Barren or Sparsely Vegetated,1,5.0,5.0,,VP,VP_peak_lag,dom_land_cover
    Closed Shrublands,4,20.75,25.5,12.120918557051139,VP,VP_peak_lag,dom_land_cover
    Croplands,63,11.206349206349206,10.0,9.653945758848957,VP,VP_peak_lag,dom_land_cover
    Deciduous Broadleaf Forest,122,16.66393442622951,18.0,10.18231383187884,VP,VP_peak_lag,dom_land_cover
    Evergreen Broadleaf Forest,5,14.4,17.0,12.660963628413123,VP,VP_peak_lag,dom_land_cover
    Evergreen Needleleaf Forest,110,6.136363636363637,4.0,6.485661351728733,VP,VP_peak_lag,dom_land_cover
    Grasslands,110,5.945454545454545,2.0,7.783582302591635,VP,VP_peak_lag,dom_land_cover
    Mixed Forests,89,13.348314606741573,13.0,10.356268549218594,VP,VP_peak_lag,dom_land_cover
    Open Shrublands,11,12.272727272727273,12.0,11.376211224224953,VP,VP_peak_lag,dom_land_cover
    Savannas,5,9.8,4.0,11.734564329364767,VP,VP_peak_lag,dom_land_cover
    Woody Savannas,64,10.265625,8.0,9.49727143355078,VP,VP_peak_lag,dom_land_cover
    cropland/natural vegetation mosaic,87,15.333333333333334,16.0,9.989141391352618,VP,VP_peak_lag,dom_land_cover
