attribute,PRCP_r_TE_all,PRCP_n_TE_all,PRCP_r_lag_all,PRCP_n_lag_all,PRCP_r_TE_dom,PRCP_n_TE_dom,PRCP_r_lag_dom,PRCP_n_lag_dom,SRAD_r_TE_all,SRAD_n_TE_all,SRAD_r_lag_all,SRAD_n_lag_all,SRAD_r_TE_dom,SRAD_n_TE_dom,SRAD_r_lag_dom,SRAD_n_lag_dom,Tair_r_TE_all,Tair_n_TE_all,Tair_r_lag_all,Tair_n_lag_all,Tair_r_TE_dom,Tair_n_TE_dom,Tair_r_lag_dom,Tair_n_lag_dom,VP_r_TE_all,VP_n_TE_all,VP_r_lag_all,VP_n_lag_all,VP_r_TE_dom,VP_n_TE_dom,VP_r_lag_dom,VP_n_lag_dom
glim_2nd_class_frac,0.135,670,-0.037,670,0.126,389,-0.051,389,0.172,653,-0.063,653,0.187,156,0.017,156,0.164,593,-0.19,593,0.243,95,-0.218,95,0.134,577,-0.158,577,-0.082,31,-0.072,31
carbonate_rocks_frac,-0.108,670,-0.002,670,-0.182,389,-0.032,389,-0.123,653,0.022,653,-0.003,156,0.192,156,-0.063,593,0.073,593,0.036,95,-0.073,95,-0.031,577,-0.014,577,-0.226,31,-0.054,31
geol_porostiy,0.085,667,0.027,667,0.096,388,0.067,388,-0.068,650,0.065,650,-0.154,155,0.234,155,-0.129,590,0.138,590,-0.354,94,0.199,94,-0.127,574,0.115,574,0.138,31,-0.419,31
geol_permeability,0.053,670,0.014,670,-0.033,389,0.035,389,0.012,653,-0.138,653,0.047,156,-0.012,156,-0.051,593,-0.081,593,0.036,95,-0.085,95,-0.027,577,-0.135,577,-0.07,31,-0.121,31
q_mean,0.612,669,-0.133,669,0.658,389,-0.079,389,0.517,652,-0.199,652,0.511,156,-0.307,156,0.382,592,-0.217,592,0.209,94,-0.016,94,0.296,576,-0.065,576,0.231,31,0.41,31
runoff_ratio,0.441,669,-0.081,669,0.6,389,-0.087,389,0.574,652,-0.199,652,0.625,156,-0.351,156,0.536,592,-0.289,592,0.524,94,-0.198,94,0.479,576,-0.125,576,0.366,31,0.314,31
slope_fdc,0.288,669,-0.154,669,0.364,389,-0.048,389,0.199,652,0.004,652,0.144,156,-0.027,156,0.21,592,0.001,592,0.164,94,0.131,94,0.194,576,0.126,576,0.374,31,0.287,31
baseflow_index,0.06,670,0.076,670,0.169,389,0.017,389,0.204,653,-0.074,653,0.187,156,-0.112,156,0.22,593,-0.184,593,0.269,95,-0.176,95,0.191,577,-0.069,577,0.239,31,0.173,31
stream_elas,-0.177,669,0.027,669,-0.301,389,0.156,389,-0.289,652,0.054,652,-0.428,156,0.173,156,-0.36,592,0.181,592,-0.241,94,0.147,94,-0.314,576,0.034,576,-0.341,31,-0.35,31
q5,0.399,669,-0.075,669,0.437,389,-0.033,389,0.312,652,-0.191,652,0.309,156,-0.236,156,0.252,592,-0.192,592,0.231,94,-0.209,94,0.224,576,-0.075,576,0.034,31,0.351,31
q95,0.624,669,-0.122,669,0.69,389,-0.079,389,0.603,652,-0.215,652,0.621,156,-0.341,156,0.455,592,-0.247,592,0.307,94,-0.104,94,0.364,576,-0.105,576,0.329,31,0.379,31
high_q_freq,-0.105,669,0.024,669,-0.197,389,0.098,389,-0.029,652,-0.017,652,-0.006,156,0.083,156,-0.083,592,0.011,592,0.195,94,-0.146,94,-0.064,576,-0.166,576,-0.139,31,-0.221,31
high_q_dur,-0.164,669,0.17,669,-0.189,389,0.141,389,0.047,652,-0.033,652,0.035,156,0.147,156,0.002,592,-0.151,592,0.277,94,-0.364,94,0.02,576,-0.256,576,-0.122,31,-0.195,31
low_q_freq,-0.04,669,-0.033,669,-0.149,389,0.037,389,-0.076,652,0.025,652,-0.065,156,0.078,156,-0.113,592,0.089,592,-0.093,94,0.091,94,-0.104,576,-0.048,576,-0.189,31,-0.108,31
low_q_dur,0.003,669,-0.033,669,-0.068,389,0.109,389,0.051,652,-0.06,652,0.0,156,0.073,156,-0.005,592,-0.055,592,0.098,94,-0.069,94,-0.039,576,-0.158,576,-0.245,31,0.038,31
zero_q_freq,-0.101,669,-0.021,669,-0.184,389,0.044,389,-0.118,652,0.007,652,-0.156,156,0.169,156,-0.156,592,0.026,592,-0.106,94,0.07,94,-0.177,576,-0.057,576,-0.298,31,0.004,31
hfd_mean,-0.36,669,0.22,669,-0.392,389,0.092,389,0.017,652,0.087,652,0.416,156,-0.057,156,0.148,592,-0.281,592,0.583,94,-0.57,94,0.219,576,-0.308,576,-0.13,31,-0.455,31
soil_depth_pelletier,0.053,670,-0.079,670,-0.095,389,0.076,389,-0.197,653,0.073,653,-0.28,156,0.332,156,-0.171,593,0.071,593,-0.038,95,-0.053,95,-0.136,577,0.092,577,-0.137,31,-0.186,31
soil_depth_statsgo,0.029,670,-0.02,670,0.001,389,0.017,389,-0.055,653,0.015,653,-0.013,156,0.011,156,-0.041,593,-0.05,593,0.02,95,-0.179,95,0.014,577,0.018,577,-0.243,31,-0.204,31
soil_porosity,-0.03,670,-0.035,670,0.017,389,-0.046,389,-0.086,653,0.184,653,-0.292,156,0.361,156,-0.04,593,0.11,593,-0.044,95,-0.085,95,-0.043,577,0.064,577,-0.03,31,-0.113,31
soil_conductivity,0.091,670,-0.034,670,0.028,389,-0.003,389,0.049,653,-0.138,653,0.329,156,-0.317,156,0.034,593,-0.117,593,0.082,95,-0.219,95,0.066,577,-0.027,577,0.085,31,0.264,31
max_water_content,0.006,670,-0.076,670,-0.02,389,0.008,389,-0.094,653,0.054,653,-0.112,156,0.062,156,-0.071,593,0.021,593,-0.018,95,-0.161,95,-0.044,577,0.062,577,-0.101,31,-0.286,31
sand_frac,0.064,670,-0.028,670,0.015,389,0.038,389,0.088,653,-0.181,653,0.279,156,-0.364,156,0.079,593,-0.149,593,0.104,95,-0.137,95,0.079,577,-0.053,577,0.207,31,0.077,31
silt_frac,-0.007,670,-0.009,670,0.149,389,-0.049,389,-0.002,653,0.226,653,-0.132,156,0.3,156,0.028,593,0.137,593,-0.175,95,0.287,95,0.057,577,0.097,577,0.194,31,0.053,31
clay_frac,-0.075,670,-0.054,670,-0.139,389,-0.038,389,-0.165,653,0.046,653,-0.321,156,0.167,156,-0.223,593,0.199,593,-0.196,95,0.176,95,-0.237,577,0.073,577,-0.095,31,-0.463,31
water_frac,-0.012,670,0.058,670,0.007,389,-0.019,389,0.01,653,0.03,653,-0.0,156,-0.026,156,0.033,593,-0.076,593,0.018,95,-0.079,95,0.033,577,-0.011,577,,31,,31
organic_frac,0.039,670,-0.042,670,0.003,389,-0.015,389,-0.024,653,0.001,653,-0.021,156,-0.0,156,0.007,593,-0.05,593,0.037,95,-0.202,95,0.004,577,-0.011,577,,31,,31
other_frac,-0.007,670,0.06,670,-0.018,389,-0.016,389,0.172,653,-0.064,653,0.304,156,-0.081,156,0.185,593,-0.145,593,0.539,95,-0.216,95,0.237,577,-0.148,577,-0.253,31,0.181,31
elev_mean,-0.172,670,0.326,670,-0.029,389,0.049,389,0.334,653,-0.084,653,0.425,156,-0.237,156,0.342,593,-0.333,593,0.655,95,-0.45,95,0.344,577,-0.322,577,0.438,31,0.051,31
slope_mean,0.177,670,0.093,670,0.312,389,-0.015,389,0.505,653,-0.211,653,0.675,156,-0.339,156,0.436,593,-0.342,593,0.501,95,-0.333,95,0.378,577,-0.301,577,0.376,31,0.329,31
area_gages2,0.041,670,-0.041,670,-0.004,389,0.047,389,0.01,653,0.037,653,0.106,156,0.063,156,0.058,593,0.015,593,0.205,95,-0.206,95,0.037,577,-0.094,577,0.078,31,-0.149,31
area_geospa_fabric,0.037,670,-0.035,670,-0.006,389,0.045,389,0.008,653,0.038,653,0.087,156,0.058,156,0.056,593,0.009,593,0.199,95,-0.209,95,0.036,577,-0.096,577,0.19,31,-0.181,31
frac_forest,0.217,670,-0.105,670,0.342,389,-0.101,389,0.257,653,-0.168,653,0.283,156,-0.38,156,0.238,593,-0.066,593,-0.027,95,-0.022,95,0.169,577,0.106,577,0.094,31,0.464,31
lai_max,0.173,670,-0.179,670,0.256,389,-0.086,389,-0.024,653,-0.036,653,-0.21,156,-0.037,156,-0.045,593,0.159,593,-0.367,95,0.261,95,-0.057,577,0.276,577,0.054,31,0.288,31
lai_diff,-0.006,670,-0.151,670,0.076,389,-0.073,389,-0.176,653,0.07,653,-0.284,156,0.036,156,-0.114,593,0.204,593,-0.395,95,0.297,95,-0.081,577,0.316,577,0.085,31,0.247,31
gvf_max,0.224,670,-0.197,670,0.318,389,-0.087,389,-0.011,653,-0.002,653,-0.179,156,0.008,156,-0.029,593,0.157,593,-0.47,95,0.298,95,-0.061,577,0.256,577,-0.066,31,0.285,31
gvf_diff,-0.26,670,-0.073,670,-0.204,389,0.007,389,-0.372,653,0.305,653,-0.37,156,0.332,156,-0.2,593,0.241,593,-0.511,95,0.389,95,-0.106,577,0.254,577,0.047,31,-0.024,31
dom_land_cover_frac,0.068,670,0.008,670,0.151,389,-0.056,389,0.063,653,0.134,653,0.015,156,0.139,156,0.071,593,0.014,593,0.006,95,0.28,95,0.072,577,0.048,577,0.337,31,-0.079,31
root_depth_50,0.092,646,-0.207,646,0.07,373,-0.064,373,-0.151,629,-0.07,629,-0.32,150,-0.067,150,-0.159,569,0.183,569,-0.337,93,0.235,93,-0.133,554,0.288,554,0.027,31,0.438,31
root_depth_99,0.065,646,-0.128,646,0.021,373,-0.07,373,-0.046,629,-0.147,629,-0.152,150,-0.263,150,-0.088,569,0.056,569,-0.148,93,0.108,93,-0.09,554,0.144,554,0.038,31,0.33,31
