attribute,forcing,n_basins,r_peak_TE,n_peak_TE,r_peak_lag,n_peak_lag
carbonate_rocks_frac,Tair,95,0.036,95,-0.073,95
carbonate_rocks_frac,VP,31,-0.226,31,-0.054,31
geol_porostiy,PRCP,388,0.096,388,0.067,388
geol_porostiy,SRAD,155,-0.154,155,0.234,155
geol_porostiy,Tair,94,-0.354,94,0.199,94
geol_porostiy,VP,31,0.138,31,-0.419,31
geol_permeability,PRCP,389,-0.033,389,0.035,389
geol_permeability,SRAD,156,0.047,156,-0.012,156
geol_permeability,Tair,95,0.036,95,-0.085,95
geol_permeability,VP,31,-0.07,31,-0.121,31
q_mean,PRCP,389,0.658,389,-0.079,389
q_mean,SRAD,156,0.511,156,-0.307,156
q_mean,Tair,94,0.209,94,-0.016,94
q_mean,VP,31,0.231,31,0.41,31
runoff_ratio,PRCP,389,0.6,389,-0.087,389
runoff_ratio,SRAD,156,0.625,156,-0.351,156
runoff_ratio,Tair,94,0.524,94,-0.198,94
runoff_ratio,VP,31,0.366,31,0.314,31
slope_fdc,PRCP,389,0.364,389,-0.048,389
slope_fdc,SRAD,156,0.144,156,-0.027,156
slope_fdc,Tair,94,0.164,94,0.131,94
slope_fdc,VP,31,0.374,31,0.287,31
baseflow_index,PRCP,389,0.169,389,0.017,389
baseflow_index,SRAD,156,0.187,156,-0.112,156
baseflow_index,Tair,95,0.269,95,-0.176,95
baseflow_index,VP,31,0.239,31,0.173,31
stream_elas,PRCP,389,-0.301,389,0.156,389
stream_elas,SRAD,156,-0.428,156,0.173,156
stream_elas,Tair,94,-0.241,94,0.147,94
stream_elas,VP,31,-0.341,31,-0.35,31
q5,PRCP,389,0.437,389,-0.033,389
q5,SRAD,156,0.309,156,-0.236,156
q5,Tair,94,0.231,94,-0.209,94
q5,VP,31,0.034,31,0.351,31
q95,PRCP,389,0.69,389,-0.079,389
q95,SRAD,156,0.621,156,-0.341,156
q95,Tair,94,0.307,94,-0.104,94
q95,VP,31,0.329,31,0.379,31
high_q_freq,PRCP,389,-0.197,389,0.098,389
high_q_freq,SRAD,156,-0.006,156,0.083,156
high_q_freq,Tair,94,0.195,94,-0.146,94
high_q_freq,VP,31,-0.139,31,-0.221,31
high_q_dur,PRCP,389,-0.189,389,0.141,389
high_q_dur,SRAD,156,0.035,156,0.147,156
high_q_dur,Tair,94,0.277,94,-0.364,94
high_q_dur,VP,31,-0.122,31,-0.195,31
low_q_freq,PRCP,389,-0.149,389,0.037,389
low_q_freq,SRAD,156,-0.065,156,0.078,156
low_q_freq,Tair,94,-0.093,94,0.091,94
low_q_freq,VP,31,-0.189,31,-0.108,31
low_q_dur,PRCP,389,-0.068,389,0.109,389
low_q_dur,SRAD,156,0.0,156,0.073,156
low_q_dur,Tair,94,0.098,94,-0.069,94
low_q_dur,VP,31,-0.245,31,0.038,31
zero_q_freq,PRCP,389,-0.184,389,0.044,389
zero_q_freq,SRAD,156,-0.156,156,0.169,156
zero_q_freq,Tair,94,-0.106,94,0.07,94
zero_q_freq,VP,31,-0.298,31,0.004,31
hfd_mean,PRCP,389,-0.392,389,0.092,389
hfd_mean,SRAD,156,0.416,156,-0.057,156
hfd_mean,Tair,94,0.583,94,-0.57,94
hfd_mean,VP,31,-0.13,31,-0.455,31
soil_depth_pelletier,PRCP,389,-0.095,389,0.076,389
soil_depth_pelletier,SRAD,156,-0.28,156,0.332,156
soil_depth_pelletier,Tair,95,-0.038,95,-0.053,95
soil_depth_pelletier,VP,31,-0.137,31,-0.186,31
soil_depth_statsgo,PRCP,389,0.001,389,0.017,389
soil_depth_statsgo,SRAD,156,-0.013,156,0.011,156
soil_depth_statsgo,Tair,95,0.02,95,-0.179,95
soil_depth_statsgo,VP,31,-0.243,31,-0.204,31
soil_porosity,PRCP,389,0.017,389,-0.046,389
soil_porosity,SRAD,156,-0.292,156,0.361,156
soil_porosity,Tair,95,-0.044,95,-0.085,95
soil_porosity,VP,31,-0.03,31,-0.113,31
soil_conductivity,PRCP,389,0.028,389,-0.003,389
soil_conductivity,SRAD,156,0.329,156,-0.317,156
soil_conductivity,Tair,95,0.082,95,-0.219,95
soil_conductivity,VP,31,0.085,31,0.264,31
max_water_content,PRCP,389,-0.02,389,0.008,389
max_water_content,SRAD,156,-0.112,156,0.062,156
max_water_content,Tair,95,-0.018,95,-0.161,95
max_water_content,VP,31,-0.101,31,-0.286,31
sand_frac,PRCP,389,0.015,389,0.038,389
sand_frac,SRAD,156,0.279,156,-0.364,156
sand_frac,Tair,95,0.104,95,-0.137,95
sand_frac,VP,31,0.207,31,0.077,31
silt_frac,PRCP,389,0.149,389,-0.049,389
silt_frac,SRAD,156,-0.132,156,0.3,156
silt_frac,Tair,95,-0.175,95,0.287,95
silt_frac,VP,31,0.194,31,0.053,31
clay_frac,PRCP,389,-0.139,389,-0.038,389
clay_frac,SRAD,156,-0.321,156,0.167,156
clay_frac,Tair,95,-0.196,95,0.176,95
clay_frac,VP,31,-0.095,31,-0.463,31
water_frac,PRCP,389,0.007,389,-0.019,389
water_frac,SRAD,156,-0.0,156,-0.026,156
water_frac,Tair,95,0.018,95,-0.079,95
water_frac,VP,31,,31,,31
organic_frac,PRCP,389,0.003,389,-0.015,389
organic_frac,SRAD,156,-0.021,156,-0.0,156
organic_frac,Tair,95,0.037,95,-0.202,95
organic_frac,VP,31,,31,,31
other_frac,PRCP,389,-0.018,389,-0.016,389
other_frac,SRAD,156,0.304,156,-0.081,156
other_frac,Tair,95,0.539,95,-0.216,95
other_frac,VP,31,-0.253,31,0.181,31
elev_mean,PRCP,389,-0.029,389,0.049,389
elev_mean,SRAD,156,0.425,156,-0.237,156
elev_mean,Tair,95,0.655,95,-0.45,95
elev_mean,VP,31,0.438,31,0.051,31
slope_mean,PRCP,389,0.312,389,-0.015,389
slope_mean,SRAD,156,0.675,156,-0.339,156
slope_mean,Tair,95,0.501,95,-0.333,95
slope_mean,VP,31,0.376,31,0.329,31
area_gages2,PRCP,389,-0.004,389,0.047,389
area_gages2,SRAD,156,0.106,156,0.063,156
area_gages2,Tair,95,0.205,95,-0.206,95
area_gages2,VP,31,0.078,31,-0.149,31
area_geospa_fabric,PRCP,389,-0.006,389,0.045,389
area_geospa_fabric,SRAD,156,0.087,156,0.058,156
area_geospa_fabric,Tair,95,0.199,95,-0.209,95
area_geospa_fabric,VP,31,0.19,31,-0.181,31
frac_forest,PRCP,389,0.342,389,-0.101,389
frac_forest,SRAD,156,0.283,156,-0.38,156
frac_forest,Tair,95,-0.027,95,-0.022,95
frac_forest,VP,31,0.094,31,0.464,31
lai_max,PRCP,389,0.256,389,-0.086,389
lai_max,SRAD,156,-0.21,156,-0.037,156
lai_max,Tair,95,-0.367,95,0.261,95
lai_max,VP,31,0.054,31,0.288,31
lai_diff,PRCP,389,0.076,389,-0.073,389
lai_diff,SRAD,156,-0.284,156,0.036,156
lai_diff,Tair,95,-0.395,95,0.297,95
lai_diff,VP,31,0.085,31,0.247,31
gvf_max,PRCP,389,0.318,389,-0.087,389
gvf_max,SRAD,156,-0.179,156,0.008,156
gvf_max,Tair,95,-0.47,95,0.298,95
gvf_max,VP,31,-0.066,31,0.285,31
gvf_diff,PRCP,389,-0.204,389,0.007,389
gvf_diff,SRAD,156,-0.37,156,0.332,156
gvf_diff,Tair,95,-0.511,95,0.389,95
gvf_diff,VP,31,0.047,31,-0.024,31
dom_land_cover_frac,PRCP,389,0.151,389,-0.056,389
dom_land_cover_frac,SRAD,156,0.015,156,0.139,156
dom_land_cover_frac,Tair,95,0.006,95,0.28,95
dom_land_cover_frac,VP,31,0.337,31,-0.079,31
root_depth_50,PRCP,373,0.07,373,-0.064,373
root_depth_50,SRAD,150,-0.32,150,-0.067,150
root_depth_50,Tair,93,-0.337,93,0.235,93
root_depth_50,VP,31,0.027,31,0.438,31
root_depth_99,PRCP,373,0.021,373,-0.07,373
root_depth_99,SRAD,150,-0.152,150,-0.263,150
root_depth_99,Tair,93,-0.148,93,0.108,93
root_depth_99,VP,31,0.038,31,0.33,31
