attribute,PRCP_spearman,SRAD_spearman,Tair_spearman,VP_spearman,PRCP_abs,SRAD_abs,Tair_abs,VP_abs
soil_depth_statsgo,0.13386290106907564,-0.017548683163493957,-0.0728774183610284,0.003959578860745266,0.13386290106907564,0.017548683163493957,0.0728774183610284,0.003959578860745266
soil_porosity,-0.09520569844529414,-0.1715989360388605,-0.048393108343073636,-0.002304841338565609,0.09520569844529414,0.1715989360388605,0.048393108343073636,0.002304841338565609
soil_conductivity,0.1473560876296892,0.2537412387261566,0.20400609399787764,0.14630093252403356,0.1473560876296892,0.2537412387261566,0.20400609399787764,0.14630093252403356
max_water_content,0.07636861316133706,-0.09211636020234625,-0.1014609844178975,-0.003999278079970771,0.07636861316133706,0.09211636020234625,0.1014609844178975,0.003999278079970771
sand_frac,0.11701181361022386,0.17621608616916656,0.10336881638027165,0.07500665467253342,0.11701181361022386,0.17621608616916656,0.10336881638027165,0.07500665467253342
silt_frac,-0.09235142335119081,-0.051821702083214884,0.12933787780819686,0.13490412932087747,0.09235142335119081,0.051821702083214884,0.12933787780819686,0.13490412932087747
clay_frac,-0.07703460443619549,-0.22045605921166062,-0.2954000945228635,-0.21983119623495784,0.07703460443619549,0.22045605921166062,0.2954000945228635,0.21983119623495784
water_frac,0.07516898073255375,0.05938943007113956,0.037401686291137166,0.005089199494017165,0.07516898073255375,0.05938943007113956,0.037401686291137166,0.005089199494017165
organic_frac,0.17043998086827894,0.04712268523065869,0.040658273401572916,0.06724449036617358,0.17043998086827894,0.04712268523065869,0.040658273401572916,0.06724449036617358
other_frac,-0.002062054178100634,0.1391951709348417,0.10551762401334004,0.021683563073896243,0.002062054178100634,0.1391951709348417,0.10551762401334004,0.021683563073896243
gauge_lat,0.12619820844680155,0.2930312775064427,0.5055084779424147,0.3520904102014942,0.12619820844680155,0.2930312775064427,0.5055084779424147,0.3520904102014942
gauge_lon,-0.2715882080972612,-0.43213745515556135,-0.2545977267166403,-0.13179967206759474,0.2715882080972612,0.43213745515556135,0.2545977267166403,0.13179967206759474
elev_mean,-0.1953378088599921,0.24127728243175708,0.2972975396459945,0.15681544266123584,0.1953378088599921,0.24127728243175708,0.2972975396459945,0.15681544266123584
slope_mean,-0.02691957235326455,0.36744400999049887,0.4074221716624457,0.2711351958538159,0.02691957235326455,0.36744400999049887,0.4074221716624457,0.2711351958538159
area_gages2,0.18059920313933323,-0.0339476180800467,-0.07375263890560185,-0.03252063941497748,0.18059920313933323,0.0339476180800467,0.07375263890560185,0.03252063941497748
area_geospa_fabric,0.17031201353253472,-0.035465557032242245,-0.07614818275205586,-0.03939633703742518,0.17031201353253472,0.035465557032242245,0.07614818275205586,0.03939633703742518
frac_forest,0.17235626649393695,0.2349461241438898,0.34588234943003254,0.29057603977603597,0.17235626649393695,0.2349461241438898,0.34588234943003254,0.29057603977603597
lai_max,0.08763159399934539,-0.03307902948531772,0.08126709967302088,0.10398563389143275,0.08763159399934539,0.03307902948531772,0.08126709967302088,0.10398563389143275
lai_diff,-0.021294991404484924,-0.13970683097181752,0.0485498841750371,0.08383018376289725,0.021294991404484924,0.13970683097181752,0.0485498841750371,0.08383018376289725
gvf_max,0.11574826262555649,-0.008846191122310526,0.13752085325978158,0.1426005881810873,0.11574826262555649,0.008846191122310526,0.13752085325978158,0.1426005881810873
gvf_diff,-0.2430380299905624,-0.327298903078815,-0.054214304780123235,-0.009018538349343342,0.2430380299905624,0.327298903078815,0.054214304780123235,0.009018538349343342
dom_land_cover_frac,0.002175796707930847,-0.0018771174446332156,0.1004356538639698,0.08581965432734774,0.002175796707930847,0.0018771174446332156,0.1004356538639698,0.08581965432734774
root_depth_50,0.05508554089442193,-0.12533324486877281,-0.005936840363377368,0.008579216938294056,0.05508554089442193,0.12533324486877281,0.005936840363377368,0.008579216938294056
root_depth_99,0.10116171577890302,0.05625979165360133,0.07888431887720174,0.03645812138426652,0.10116171577890302,0.05625979165360133,0.07888431887720174,0.03645812138426652
