attribute,forcing,r_peak_TE,n_peak_TE,r_peak_lag,n_peak_lag
glim_2nd_class_frac,PRCP,0.135,670,-0.037,670
glim_2nd_class_frac,SRAD,0.172,653,-0.063,653
glim_2nd_class_frac,Tair,0.164,593,-0.19,593
glim_2nd_class_frac,VP,0.134,577,-0.158,577
carbonate_rocks_frac,PRCP,-0.108,670,-0.002,670
carbonate_rocks_frac,SRAD,-0.123,653,0.022,653
carbonate_rocks_frac,Tair,-0.063,593,0.073,593
carbonate_rocks_frac,VP,-0.031,577,-0.014,577
geol_porostiy,PRCP,0.085,667,0.027,667
geol_porostiy,SRAD,-0.068,650,0.065,650
geol_porostiy,Tair,-0.129,590,0.138,590
geol_porostiy,VP,-0.127,574,0.115,574
geol_permeability,PRCP,0.053,670,0.014,670
geol_permeability,SRAD,0.012,653,-0.138,653
geol_permeability,Tair,-0.051,593,-0.081,593
geol_permeability,VP,-0.027,577,-0.135,577
q_mean,PRCP,0.612,669,-0.133,669
q_mean,SRAD,0.517,652,-0.199,652
q_mean,Tair,0.382,592,-0.217,592
q_mean,VP,0.296,576,-0.065,576
runoff_ratio,PRCP,0.441,669,-0.081,669
runoff_ratio,SRAD,0.574,652,-0.199,652
runoff_ratio,Tair,0.536,592,-0.289,592
runoff_ratio,VP,0.479,576,-0.125,576
slope_fdc,PRCP,0.288,669,-0.154,669
slope_fdc,SRAD,0.199,652,0.004,652
slope_fdc,Tair,0.21,592,0.001,592
slope_fdc,VP,0.194,576,0.126,576
baseflow_index,PRCP,0.06,670,0.076,670
baseflow_index,SRAD,0.204,653,-0.074,653
baseflow_index,Tair,0.22,593,-0.184,593
baseflow_index,VP,0.191,577,-0.069,577
stream_elas,PRCP,-0.177,669,0.027,669
stream_elas,SRAD,-0.289,652,0.054,652
stream_elas,Tair,-0.36,592,0.181,592
stream_elas,VP,-0.314,576,0.034,576
q5,PRCP,0.399,669,-0.075,669
q5,SRAD,0.312,652,-0.191,652
q5,Tair,0.252,592,-0.192,592
q5,VP,0.224,576,-0.075,576
q95,PRCP,0.624,669,-0.122,669
q95,SRAD,0.603,652,-0.215,652
q95,Tair,0.455,592,-0.247,592
q95,VP,0.364,576,-0.105,576
high_q_freq,PRCP,-0.105,669,0.024,669
high_q_freq,SRAD,-0.029,652,-0.017,652
high_q_freq,Tair,-0.083,592,0.011,592
high_q_freq,VP,-0.064,576,-0.166,576
high_q_dur,PRCP,-0.164,669,0.17,669
high_q_dur,SRAD,0.047,652,-0.033,652
high_q_dur,Tair,0.002,592,-0.151,592
high_q_dur,VP,0.02,576,-0.256,576
low_q_freq,PRCP,-0.04,669,-0.033,669
low_q_freq,SRAD,-0.076,652,0.025,652
low_q_freq,Tair,-0.113,592,0.089,592
low_q_freq,VP,-0.104,576,-0.048,576
low_q_dur,PRCP,0.003,669,-0.033,669
low_q_dur,SRAD,0.051,652,-0.06,652
low_q_dur,Tair,-0.005,592,-0.055,592
low_q_dur,VP,-0.039,576,-0.158,576
zero_q_freq,PRCP,-0.101,669,-0.021,669
zero_q_freq,SRAD,-0.118,652,0.007,652
zero_q_freq,Tair,-0.156,592,0.026,592
zero_q_freq,VP,-0.177,576,-0.057,576
hfd_mean,PRCP,-0.36,669,0.22,669
hfd_mean,SRAD,0.017,652,0.087,652
hfd_mean,Tair,0.148,592,-0.281,592
hfd_mean,VP,0.219,576,-0.308,576
soil_depth_pelletier,PRCP,0.053,670,-0.079,670
soil_depth_pelletier,SRAD,-0.197,653,0.073,653
soil_depth_pelletier,Tair,-0.171,593,0.071,593
soil_depth_pelletier,VP,-0.136,577,0.092,577
soil_depth_statsgo,PRCP,0.029,670,-0.02,670
soil_depth_statsgo,SRAD,-0.055,653,0.015,653
soil_depth_statsgo,Tair,-0.041,593,-0.05,593
soil_depth_statsgo,VP,0.014,577,0.018,577
soil_porosity,PRCP,-0.03,670,-0.035,670
soil_porosity,SRAD,-0.086,653,0.184,653
soil_porosity,Tair,-0.04,593,0.11,593
soil_porosity,VP,-0.043,577,0.064,577
soil_conductivity,PRCP,0.091,670,-0.034,670
soil_conductivity,SRAD,0.049,653,-0.138,653
soil_conductivity,Tair,0.034,593,-0.117,593
soil_conductivity,VP,0.066,577,-0.027,577
max_water_content,PRCP,0.006,670,-0.076,670
max_water_content,SRAD,-0.094,653,0.054,653
max_water_content,Tair,-0.071,593,0.021,593
max_water_content,VP,-0.044,577,0.062,577
sand_frac,PRCP,0.064,670,-0.028,670
sand_frac,SRAD,0.088,653,-0.181,653
sand_frac,Tair,0.079,593,-0.149,593
sand_frac,VP,0.079,577,-0.053,577
silt_frac,PRCP,-0.007,670,-0.009,670
silt_frac,SRAD,-0.002,653,0.226,653
silt_frac,Tair,0.028,593,0.137,593
silt_frac,VP,0.057,577,0.097,577
clay_frac,PRCP,-0.075,670,-0.054,670
clay_frac,SRAD,-0.165,653,0.046,653
clay_frac,Tair,-0.223,593,0.199,593
clay_frac,VP,-0.237,577,0.073,577
water_frac,PRCP,-0.012,670,0.058,670
water_frac,SRAD,0.01,653,0.03,653
water_frac,Tair,0.033,593,-0.076,593
water_frac,VP,0.033,577,-0.011,577
organic_frac,PRCP,0.039,670,-0.042,670
organic_frac,SRAD,-0.024,653,0.001,653
organic_frac,Tair,0.007,593,-0.05,593
organic_frac,VP,0.004,577,-0.011,577
other_frac,PRCP,-0.007,670,0.06,670
other_frac,SRAD,0.172,653,-0.064,653
other_frac,Tair,0.185,593,-0.145,593
other_frac,VP,0.237,577,-0.148,577
elev_mean,PRCP,-0.172,670,0.326,670
elev_mean,SRAD,0.334,653,-0.084,653
elev_mean,Tair,0.342,593,-0.333,593
elev_mean,VP,0.344,577,-0.322,577
slope_mean,PRCP,0.177,670,0.093,670
slope_mean,SRAD,0.505,653,-0.211,653
slope_mean,Tair,0.436,593,-0.342,593
slope_mean,VP,0.378,577,-0.301,577
area_gages2,PRCP,0.041,670,-0.041,670
area_gages2,SRAD,0.01,653,0.037,653
area_gages2,Tair,0.058,593,0.015,593
area_gages2,VP,0.037,577,-0.094,577
area_geospa_fabric,PRCP,0.037,670,-0.035,670
area_geospa_fabric,SRAD,0.008,653,0.038,653
area_geospa_fabric,Tair,0.056,593,0.009,593
area_geospa_fabric,VP,0.036,577,-0.096,577
frac_forest,PRCP,0.217,670,-0.105,670
frac_forest,SRAD,0.257,653,-0.168,653
frac_forest,Tair,0.238,593,-0.066,593
frac_forest,VP,0.169,577,0.106,577
lai_max,PRCP,0.173,670,-0.179,670
lai_max,SRAD,-0.024,653,-0.036,653
lai_max,Tair,-0.045,593,0.159,593
lai_max,VP,-0.057,577,0.276,577
lai_diff,PRCP,-0.006,670,-0.151,670
lai_diff,SRAD,-0.176,653,0.07,653
lai_diff,Tair,-0.114,593,0.204,593
lai_diff,VP,-0.081,577,0.316,577
gvf_max,PRCP,0.224,670,-0.197,670
gvf_max,SRAD,-0.011,653,-0.002,653
gvf_max,Tair,-0.029,593,0.157,593
gvf_max,VP,-0.061,577,0.256,577
gvf_diff,PRCP,-0.26,670,-0.073,670
gvf_diff,SRAD,-0.372,653,0.305,653
gvf_diff,Tair,-0.2,593,0.241,593
gvf_diff,VP,-0.106,577,0.254,577
dom_land_cover_frac,PRCP,0.068,670,0.008,670
dom_land_cover_frac,SRAD,0.063,653,0.134,653
dom_land_cover_frac,Tair,0.071,593,0.014,593
dom_land_cover_frac,VP,0.072,577,0.048,577
root_depth_50,PRCP,0.092,646,-0.207,646
root_depth_50,SRAD,-0.151,629,-0.07,629
root_depth_50,Tair,-0.159,569,0.183,569
root_depth_50,VP,-0.133,554,0.288,554
root_depth_99,PRCP,0.065,646,-0.128,646
root_depth_99,SRAD,-0.046,629,-0.147,629
root_depth_99,Tair,-0.088,569,0.056,569
root_depth_99,VP,-0.09,554,0.144,554
