forcing,attribute,n,r
PRCP,gvf_max,632,0.2239339033292294
PRCP,gvf_diff,632,-0.25411412228083957
PRCP,dom_land_cover_frac,632,0.08039741493532096
PRCP,root_depth_50,610,0.08350150105709099
PRCP,root_depth_99,610,0.05364816765910591
SRAD,p_mean,513,0.39695828862658594
SRAD,pet_mean,513,-0.23283630065875024
SRAD,p_seasonality,513,-0.4609574259566929
SRAD,frac_snow,513,0.31437649679435087
SRAD,aridity,513,-0.25068269055008546
SRAD,high_prec_freq,513,-0.4859227547722783
SRAD,high_prec_dur,513,0.27219287379484575
SRAD,low_prec_freq,513,-0.4420235949240672
SRAD,low_prec_dur,513,-0.07284235750825555
SRAD,glim_1st_class_frac,513,-0.19867551520659887
SRAD,glim_2nd_class_frac,513,0.1522084962591512
SRAD,carbonate_rocks_frac,513,-0.1490878151552343
SRAD,geol_porostiy,510,-0.02196959284942667
SRAD,geol_permeability,513,-0.04139897641753681
SRAD,q_mean,512,0.5478115180006644
SRAD,runoff_ratio,512,0.5992293096089772
SRAD,slope_fdc,512,0.24822986524162538
SRAD,baseflow_index,513,0.1632356926666082
SRAD,stream_elas,512,-0.29779953468328013
SRAD,q5,512,0.28369286068093247
SRAD,q95,512,0.6384099688493727
SRAD,high_q_freq,512,-0.03880281914246551
SRAD,high_q_dur,512,0.02739129961562054
SRAD,low_q_freq,512,-0.040325122039814504
SRAD,low_q_dur,512,0.06279151976348563
SRAD,zero_q_freq,512,-0.12880300773423864
SRAD,hfd_mean,512,-0.03168846315006012
SRAD,soil_depth_pelletier,513,-0.19447924962059993
SRAD,soil_depth_statsgo,513,-0.07199407545274274
SRAD,soil_porosity,513,-0.04349628971610317
SRAD,soil_conductivity,513,0.016781994681654862
SRAD,max_water_content,513,-0.10366923211199708
SRAD,sand_frac,513,0.03188236401047924
SRAD,silt_frac,513,0.07192995411657412
SRAD,clay_frac,513,-0.13961158735207183
SRAD,water_frac,513,-0.012256591443009465
SRAD,organic_frac,513,-0.03799588001883128
SRAD,other_frac,513,0.1273804442809314
SRAD,elev_mean,513,0.2775839336087687
SRAD,slope_mean,513,0.4873722877425459
SRAD,area_gages2,513,-0.024684504750227772
SRAD,area_geospa_fabric,513,-0.028518561271451026
SRAD,frac_forest,513,0.268727319983499
SRAD,lai_max,513,0.0069734051546005565
SRAD,lai_diff,513,-0.15138481334242287
SRAD,gvf_max,513,0.03740538169601795
SRAD,gvf_diff,513,-0.32619568513655894
SRAD,dom_land_cover_frac,513,0.1394998496630095
SRAD,root_depth_50,492,-0.1757389749218187
SRAD,root_depth_99,492,-0.09640935040239758
Tair,p_mean,358,0.11177366731417375
Tair,pet_mean,358,-0.17978096400398064
Tair,p_seasonality,358,-0.2635584787173647
Tair,frac_snow,358,0.4649593441865611
Tair,aridity,358,-0.09662332827179376
Tair,high_prec_freq,358,-0.43846326901773197
Tair,high_prec_dur,358,0.15914518049298362
Tair,low_prec_freq,358,-0.3544932469314743
Tair,low_prec_dur,358,-0.08835398862997512
Tair,glim_1st_class_frac,358,-0.2570225540432059
Tair,glim_2nd_class_frac,358,0.20749066232881885
Tair,carbonate_rocks_frac,358,-0.019693852426841886
Tair,geol_porostiy,355,-0.22641500304942075
Tair,geol_permeability,358,0.03665622688454342
Tair,q_mean,357,0.27461954863557014
Tair,runoff_ratio,357,0.4649266944665961
Tair,slope_fdc,357,0.1686762989054803
Tair,baseflow_index,358,0.3287286264955217
Tair,stream_elas,357,-0.36935944706049517
Tair,q5,357,0.22919357658771172
Tair,q95,357,0.3295108163720035
Tair,high_q_freq,357,-0.05228752343649603
Tair,high_q_dur,357,0.07055223094578213
Tair,low_q_freq,357,-0.13568546291252226
Tair,low_q_dur,357,0.04411335236458621
Tair,zero_q_freq,357,-0.1469699498839409
Tair,hfd_mean,357,0.24095428303815786
Tair,soil_depth_pelletier,358,-0.16438744575074227
Tair,soil_depth_statsgo,358,0.027699703953425733
Tair,soil_porosity,358,-0.08358460889763467
Tair,soil_conductivity,358,0.11144250617463906
Tair,max_water_content,358,-0.04045519619946633
Tair,sand_frac,358,0.13041396318598494
Tair,silt_frac,358,-0.09505031376573053
Tair,clay_frac,358,-0.2516675523379005
Tair,water_frac,358,0.058253473930220886
Tair,organic_frac,358,0.03382108544595897
Tair,other_frac,358,0.2751024333353432
Tair,elev_mean,358,0.3404446154551304
Tair,slope_mean,358,0.4423213750223811
Tair,area_gages2,358,0.10216199207843052
Tair,area_geospa_fabric,358,0.1005100936217684
Tair,frac_forest,358,0.14886040507377019
Tair,lai_max,358,-0.17243664954144045
Tair,lai_diff,358,-0.21850192772151902
Tair,gvf_max,358,-0.17829457687669734
Tair,gvf_diff,358,-0.24684365771097305
Tair,dom_land_cover_frac,358,-0.023228571870935567
Tair,root_depth_50,340,-0.22240599587887078
Tair,root_depth_99,340,-0.15597748018500232
VP,p_mean,388,0.028843336731459033
VP,pet_mean,388,-0.10198801085584444
VP,p_seasonality,388,-0.2050586769819011
VP,frac_snow,388,0.5322370810153582
VP,aridity,388,-0.09461095643790754
VP,high_prec_freq,388,-0.3727318249442233
VP,high_prec_dur,388,0.0507104170879056
VP,low_prec_freq,388,-0.2794266384018922
VP,low_prec_dur,388,-0.14316411779061414
VP,glim_1st_class_frac,388,-0.20882849901027328
VP,glim_2nd_class_frac,388,0.160207942749307
VP,carbonate_rocks_frac,388,0.002868555687128644
VP,geol_porostiy,386,-0.17982726859100995
VP,geol_permeability,388,0.056377923546756956
VP,q_mean,388,0.16501935036765486
VP,runoff_ratio,388,0.4062293552482278
VP,slope_fdc,388,0.12665472576960932
VP,baseflow_index,388,0.2738066524416708
VP,stream_elas,388,-0.3257260506639694
VP,q5,388,0.17929219964174592
VP,q95,388,0.2270367028547752
VP,high_q_freq,388,-0.06488626720141863
VP,high_q_dur,388,0.03335443878439174
VP,low_q_freq,388,-0.14143684773831672
VP,low_q_dur,388,-0.04662295611617932
VP,zero_q_freq,388,-0.19896993590468634
VP,hfd_mean,388,0.3202965835866454
VP,soil_depth_pelletier,388,-0.1588101255014222
VP,soil_depth_statsgo,388,0.07756199727397017
VP,soil_porosity,388,-0.11638899904165219
VP,soil_conductivity,388,0.061264480928267515
VP,max_water_content,388,-0.010218550440048315
VP,sand_frac,388,0.12439445593094534
VP,silt_frac,388,-0.019447535389980265
VP,clay_frac,388,-0.22567123098366457
VP,water_frac,388,0.0064879266300356935
VP,organic_frac,388,-0.030240125732333683
VP,other_frac,388,0.29373857154107885
VP,elev_mean,388,0.4206189040757966
VP,slope_mean,388,0.4033583293444769
VP,area_gages2,388,0.025368064241994212
VP,area_geospa_fabric,388,0.0233879005024661
VP,frac_forest,388,0.13024905889865826
VP,lai_max,388,-0.15273150898975896
VP,lai_diff,388,-0.16270438676084525
VP,gvf_max,388,-0.16829031232167493
VP,gvf_diff,388,-0.16677757038828062
VP,dom_land_cover_frac,388,-0.005971347944541287
VP,root_depth_50,370,-0.20794239693367828
VP,root_depth_99,370,-0.15960701121919324
