forcing,attribute,n_tau,r_tau,n_TE,r_TE
SRAD,glim_2nd_class_frac,653,0.0189658611742771,653,0.15440988168102068
SRAD,carbonate_rocks_frac,653,-0.09215866766740659,653,-0.1018751081672462
SRAD,geol_porostiy,650,-0.05482567488973243,650,-0.02778397732125269
SRAD,geol_permeability,653,-0.16255970159664185,653,-0.04392607463708895
SRAD,q_mean,652,0.09915228093537737,652,0.5325802187808325
SRAD,runoff_ratio,652,0.12190011046464959,652,0.5607286163580988
SRAD,slope_fdc,652,0.042427796397208783,652,0.2501632145844428
SRAD,baseflow_index,653,0.015644646577188767,653,0.15926337530245882
SRAD,stream_elas,652,-0.08235195026936733,652,-0.28284545456478427
SRAD,q5,652,0.028727422374469236,652,0.293213655804436
SRAD,q95,652,0.11031577141772342,652,0.6055796567385408
SRAD,high_q_freq,652,0.04374772245618367,652,-0.03697009247304167
SRAD,high_q_dur,652,0.051474331334730825,652,-0.005381193460624319
SRAD,low_q_freq,652,-0.006307561462771498,652,-0.03951475802459799
SRAD,low_q_dur,652,-0.020832779126594855,652,0.07045728665996252
SRAD,zero_q_freq,652,0.027876200409285377,652,-0.11734306843140181
SRAD,hfd_mean,652,-0.0066034701551905915,652,-0.07537349232097333
SRAD,soil_depth_pelletier,653,-0.1511703907478441,653,-0.15766157953250062
SRAD,soil_depth_statsgo,653,-0.14474706575843782,653,-0.08262611543254214
SRAD,soil_porosity,653,0.162382778696333,653,-0.021505198122448606
SRAD,soil_conductivity,653,-0.17901647463761985,653,0.002182704036469866
SRAD,max_water_content,653,-0.13956404033215325,653,-0.09799713782059963
SRAD,sand_frac,653,-0.22240144970060288,653,0.017535518248170127
SRAD,silt_frac,653,0.1987759464023498,653,0.08577357877309275
SRAD,clay_frac,653,0.001715536696646489,653,-0.13165733478190017
SRAD,water_frac,653,0.006594211958405479,653,0.019268075910167604
SRAD,organic_frac,653,-0.020406125892672745,653,-0.025534376875293245
SRAD,other_frac,653,0.08775825099581275,653,0.14774270556564145
SRAD,elev_mean,653,0.18125989045176782,653,0.23658193868917238
SRAD,slope_mean,653,0.1964965070998798,653,0.43082591359578726
SRAD,area_gages2,653,-0.024346517803882594,653,0.0023116323880220603
SRAD,area_geospa_fabric,653,-0.022681593481981906,653,0.0012463775004104088
SRAD,frac_forest,653,0.02661632861317339,653,0.2218009274440495
SRAD,lai_max,653,-0.048820998872845384,653,0.011729492040328025
SRAD,lai_diff,653,-0.040400132532090696,653,-0.13117742571153665
SRAD,gvf_max,653,-0.025521327657418984,653,0.042545647265406626
SRAD,gvf_diff,653,0.030352170023469578,653,-0.2905483731630155
SRAD,dom_land_cover_frac,653,0.14334564573639838,653,0.13884308499347003
SRAD,root_depth_50,629,-0.13561864233061582,629,-0.11461049004023438
SRAD,root_depth_99,629,-0.06332278866575067,629,-0.06711993568359771
Tair,p_mean,593,0.006522522212691388,593,0.29193451383962477
Tair,pet_mean,593,0.028212528165219738,593,-0.25060081277657054
Tair,p_seasonality,593,0.08567479724663193,593,-0.2709067567797623
Tair,frac_snow,593,-0.17509041657753388,593,0.2294131867959086
Tair,aridity,593,-0.05969188944607974,593,-0.2349806497257499
Tair,high_prec_freq,593,0.06674719648872286,593,-0.4762285028636926
Tair,high_prec_dur,593,-0.1392459843006398,593,0.07600284101747466
Tair,low_prec_freq,593,-0.0005523485417752057,593,-0.46321621686065917
Tair,low_prec_dur,593,-0.08193754469690612,593,-0.16134875584022038
Tair,glim_1st_class_frac,593,0.1579736000271128,593,-0.1397625223676407
Tair,glim_2nd_class_frac,593,-0.09877960823599158,593,0.10187246108670997
Tair,carbonate_rocks_frac,593,-0.018445107197205077,593,-0.03029263146865304
Tair,geol_porostiy,590,0.11651028042879508,590,-0.022285142104321354
Tair,geol_permeability,593,0.010022668374186488,593,-0.09258702439990711
Tair,q_mean,592,-0.07827533779757866,592,0.40263644760939926
Tair,runoff_ratio,592,-0.0960493801294394,592,0.4744980385065105
Tair,slope_fdc,592,0.040393132685642506,592,0.2705836392489416
Tair,baseflow_index,593,-0.05780455913915171,593,0.11396672470269228
Tair,stream_elas,592,-0.001364493352682631,592,-0.27926259232476813
Tair,q5,592,-0.06728497547030064,592,0.20555978447034715
Tair,q95,592,-0.08331102433181573,592,0.4707789225275498
Tair,high_q_freq,592,-0.06459364960411877,592,-0.08821018828682714
Tair,high_q_dur,592,-0.12386454420398063,592,-0.06461601117739174
Tair,low_q_freq,592,-0.020081071178002705,592,-0.03859270103538141
Tair,low_q_dur,592,-0.07045133291759104,592,0.02764225347827512
Tair,zero_q_freq,592,-0.02933397067592666,592,-0.1481955184052555
Tair,hfd_mean,592,-0.2019757702908282,592,-0.07964645738648915
Tair,soil_depth_pelletier,593,0.08043358096677725,593,-0.10038017257502917
Tair,soil_depth_statsgo,593,0.06584529449772239,593,-0.06426075924942662
Tair,soil_porosity,593,0.013975485107880277,593,0.028845183960406962
Tair,soil_conductivity,593,0.0006565640570451361,593,-0.015994982048081408
Tair,max_water_content,593,0.09522290845499516,593,-0.05660497892746408
Tair,sand_frac,593,0.028799938121678234,593,-0.00121414866780193
Tair,silt_frac,593,0.05424405655923269,593,0.12280238976990576
Tair,clay_frac,593,0.013218489828186455,593,-0.1297005923239856
Tair,water_frac,593,-0.02660270615556134,593,0.035949440729612786
Tair,organic_frac,593,0.0021905805628194483,593,0.001793487746443682
Tair,other_frac,593,-0.11628086916220082,593,0.07298956917184365
Tair,elev_mean,593,-0.1862187726896483,593,0.1458326826484525
Tair,slope_mean,593,-0.19294604375774624,593,0.26762875219044313
Tair,area_gages2,593,0.02102581763011943,593,0.026174190378398108
Tair,area_geospa_fabric,593,0.014851271517757711,593,0.02476023518149653
Tair,frac_forest,593,0.0943596821200169,593,0.22428680340892024
Tair,lai_max,593,0.1781925809367948,593,0.07246102288071436
Tair,lai_diff,593,0.1892260221804496,593,-0.013650127370715609
Tair,gvf_max,593,0.1541140684699219,593,0.10491889471876578
Tair,gvf_diff,593,0.12951747704047453,593,-0.11547982547271901
Tair,dom_land_cover_frac,593,-0.11218989191467074,593,0.11728175314594275
Tair,root_depth_50,569,0.21977206892071238,569,-0.05209202265438038
Tair,root_depth_99,569,0.11125689643928499,569,-0.06007104869190553
VP,p_mean,577,0.15261854821594778,577,0.2496426523559399
VP,pet_mean,577,-0.01318661044711356,577,-0.2372317575030756
VP,p_seasonality,577,0.0856829785499659,577,-0.10430746627670422
VP,frac_snow,577,-0.1280960839694487,577,0.18376428483730772
VP,aridity,577,-0.20609090278420908,577,-0.280056308475937
VP,high_prec_freq,577,-0.15809898979337272,577,-0.4183823314376345
VP,high_prec_dur,577,-0.2562086952904352,577,-0.11592458535232467
VP,low_prec_freq,577,-0.22585213009416932,577,-0.451704861811109
VP,low_prec_dur,577,-0.2501938415058151,577,-0.28697596693866795
VP,glim_1st_class_frac,577,0.115210075091419,577,-0.08099263838073048
VP,glim_2nd_class_frac,577,-0.12239564450975124,577,0.06665997258345902
VP,carbonate_rocks_frac,577,-0.05474907845337852,577,-0.01808799789624904
VP,geol_porostiy,574,0.05036636496864134,574,-0.0386841750725612
VP,geol_permeability,577,-0.0341105806526634,577,-0.09760683379808731
VP,q_mean,576,0.051182493653067006,576,0.29199014504205656
VP,runoff_ratio,576,0.04186631253164394,576,0.36516567118996285
VP,slope_fdc,576,0.15029126904335222,576,0.24324588381483603
VP,baseflow_index,577,0.016103181367010874,577,0.10471348149249007
VP,stream_elas,576,-0.12265966339903067,576,-0.2015122887652467
VP,q5,576,0.03668023002643537,576,0.1869997651095141
VP,q95,576,0.03276958065770133,576,0.33797655341217897
VP,high_q_freq,576,-0.19434363494338378,576,-0.12961656698372698
VP,high_q_dur,576,-0.22355878077366065,576,-0.1104430906158432
VP,low_q_freq,576,-0.1252733215049601,576,-0.09496389062049801
VP,low_q_dur,576,-0.16906304876076672,576,-0.11804897206852888
VP,zero_q_freq,576,-0.1091466539131826,576,-0.20321506567472325
VP,hfd_mean,576,-0.1971818705885076,576,-0.026926219020473804
VP,soil_depth_pelletier,577,0.04662498549561907,577,-0.009430180563373775
VP,soil_depth_statsgo,577,0.09730668681686905,577,0.09010874755585029
VP,soil_porosity,577,-0.020524084918970932,577,0.04078981214982362
VP,soil_conductivity,577,0.01616996257685691,577,0.059296035196650186
VP,max_water_content,577,0.1226611622404847,577,0.07780021278761642
VP,sand_frac,577,0.07858744683683792,577,0.034813899506091615
VP,silt_frac,577,0.07023248763432643,577,0.1566661028929774
VP,clay_frac,577,-0.04011529363125308,577,-0.1782363648286253
VP,water_frac,577,-0.012617601969344834,577,0.03882666154648591
VP,organic_frac,577,-0.018215347817617487,577,0.03328640729067373
VP,other_frac,577,-0.15750608870883265,577,0.01999691736261274
VP,elev_mean,577,-0.16588660963773327,577,0.0882034893031311
VP,slope_mean,577,-0.12825182740892863,577,0.14706365868004112
VP,area_gages2,577,-0.13147983267317548,577,0.04881805000512934
VP,area_geospa_fabric,577,-0.13688803156685903,577,0.047100581395155994
VP,frac_forest,577,0.21588655316663452,577,0.1898074934106464
VP,lai_max,577,0.26124339653083645,577,0.12269984734609697
VP,lai_diff,577,0.2692007852290811,577,0.09458507359154542
VP,gvf_max,577,0.2495236110823511,577,0.14674830973523018
VP,gvf_diff,577,0.1409782385226897,577,0.04840249265280447
VP,dom_land_cover_frac,577,-0.049129081814304476,577,0.09712077911028122
VP,root_depth_50,554,0.24373106140217307,554,0.05662524868569543
VP,root_depth_99,554,0.14574050972791058,554,-0.022503681127877595
