forcing,rank,attribute,n_tau,r_tau,abs_r_tau
Tair,13,geol_porostiy,590,0.11651028042879508,0.11651028042879508
Tair,14,other_frac,593,-0.11628086916220082,0.11628086916220082
Tair,15,dom_land_cover_frac,593,-0.11218989191467074,0.11218989191467074
Tair,16,root_depth_99,569,0.11125689643928499,0.11125689643928499
Tair,17,glim_2nd_class_frac,593,-0.09877960823599158,0.09877960823599158
Tair,18,runoff_ratio,592,-0.0960493801294394,0.0960493801294394
Tair,19,max_water_content,593,0.09522290845499516,0.09522290845499516
Tair,20,frac_forest,593,0.0943596821200169,0.0943596821200169
Tair,21,p_seasonality,593,0.08567479724663193,0.08567479724663193
Tair,22,q95,592,-0.08331102433181573,0.08331102433181573
Tair,23,low_prec_dur,593,-0.08193754469690612,0.08193754469690612
Tair,24,soil_depth_pelletier,593,0.08043358096677725,0.08043358096677725
Tair,25,q_mean,592,-0.07827533779757866,0.07827533779757866
Tair,26,low_q_dur,592,-0.07045133291759104,0.07045133291759104
Tair,27,q5,592,-0.06728497547030064,0.06728497547030064
Tair,28,high_prec_freq,593,0.06674719648872286,0.06674719648872286
Tair,29,soil_depth_statsgo,593,0.06584529449772239,0.06584529449772239
Tair,30,high_q_freq,592,-0.06459364960411877,0.06459364960411877
Tair,31,aridity,593,-0.05969188944607974,0.05969188944607974
Tair,32,baseflow_index,593,-0.05780455913915171,0.05780455913915171
Tair,33,silt_frac,593,0.05424405655923269,0.05424405655923269
Tair,34,slope_fdc,592,0.040393132685642506,0.040393132685642506
Tair,35,zero_q_freq,592,-0.02933397067592666,0.02933397067592666
Tair,36,sand_frac,593,0.028799938121678234,0.028799938121678234
Tair,37,pet_mean,593,0.028212528165219738,0.028212528165219738
Tair,38,water_frac,593,-0.02660270615556134,0.02660270615556134
Tair,39,area_gages2,593,0.02102581763011943,0.02102581763011943
Tair,40,low_q_freq,592,-0.020081071178002705,0.020081071178002705
Tair,41,carbonate_rocks_frac,593,-0.018445107197205077,0.018445107197205077
Tair,42,area_geospa_fabric,593,0.014851271517757711,0.014851271517757711
Tair,43,soil_porosity,593,0.013975485107880277,0.013975485107880277
Tair,44,clay_frac,593,0.013218489828186455,0.013218489828186455
Tair,45,geol_permeability,593,0.010022668374186488,0.010022668374186488
Tair,46,p_mean,593,0.006522522212691388,0.006522522212691388
Tair,47,organic_frac,593,0.0021905805628194483,0.0021905805628194483
Tair,48,stream_elas,592,-0.001364493352682631,0.001364493352682631
Tair,49,soil_conductivity,593,0.0006565640570451361,0.0006565640570451361
Tair,50,low_prec_freq,593,-0.0005523485417752057,0.0005523485417752057
VP,1,lai_diff,577,0.2692007852290811,0.2692007852290811
VP,2,lai_max,577,0.26124339653083645,0.26124339653083645
VP,3,high_prec_dur,577,-0.2562086952904352,0.2562086952904352
VP,4,low_prec_dur,577,-0.2501938415058151,0.2501938415058151
VP,5,gvf_max,577,0.2495236110823511,0.2495236110823511
VP,6,root_depth_50,554,0.24373106140217307,0.24373106140217307
VP,7,low_prec_freq,577,-0.22585213009416932,0.22585213009416932
VP,8,high_q_dur,576,-0.22355878077366065,0.22355878077366065
VP,9,frac_forest,577,0.21588655316663452,0.21588655316663452
VP,10,aridity,577,-0.20609090278420908,0.20609090278420908
VP,11,hfd_mean,576,-0.1971818705885076,0.1971818705885076
VP,12,high_q_freq,576,-0.19434363494338378,0.19434363494338378
VP,13,low_q_dur,576,-0.16906304876076672,0.16906304876076672
VP,14,elev_mean,577,-0.16588660963773327,0.16588660963773327
VP,15,high_prec_freq,577,-0.15809898979337272,0.15809898979337272
VP,16,other_frac,577,-0.15750608870883265,0.15750608870883265
VP,17,p_mean,577,0.15261854821594778,0.15261854821594778
VP,18,slope_fdc,576,0.15029126904335222,0.15029126904335222
VP,19,root_depth_99,554,0.14574050972791058,0.14574050972791058
VP,20,gvf_diff,577,0.1409782385226897,0.1409782385226897
VP,21,area_geospa_fabric,577,-0.13688803156685903,0.13688803156685903
VP,22,area_gages2,577,-0.13147983267317548,0.13147983267317548
VP,23,slope_mean,577,-0.12825182740892863,0.12825182740892863
VP,24,frac_snow,577,-0.1280960839694487,0.1280960839694487
VP,25,low_q_freq,576,-0.1252733215049601,0.1252733215049601
VP,26,max_water_content,577,0.1226611622404847,0.1226611622404847
VP,27,stream_elas,576,-0.12265966339903067,0.12265966339903067
VP,28,glim_2nd_class_frac,577,-0.12239564450975124,0.12239564450975124
VP,29,glim_1st_class_frac,577,0.115210075091419,0.115210075091419
VP,30,zero_q_freq,576,-0.1091466539131826,0.1091466539131826
VP,31,soil_depth_statsgo,577,0.09730668681686905,0.09730668681686905
VP,32,p_seasonality,577,0.0856829785499659,0.0856829785499659
VP,33,sand_frac,577,0.07858744683683792,0.07858744683683792
VP,34,silt_frac,577,0.07023248763432643,0.07023248763432643
VP,35,carbonate_rocks_frac,577,-0.05474907845337852,0.05474907845337852
VP,36,q_mean,576,0.051182493653067006,0.051182493653067006
VP,37,geol_porostiy,574,0.05036636496864134,0.05036636496864134
VP,38,dom_land_cover_frac,577,-0.049129081814304476,0.049129081814304476
VP,39,soil_depth_pelletier,577,0.04662498549561907,0.04662498549561907
VP,40,runoff_ratio,576,0.04186631253164394,0.04186631253164394
VP,41,clay_frac,577,-0.04011529363125308,0.04011529363125308
VP,42,q5,576,0.03668023002643537,0.03668023002643537
VP,43,geol_permeability,577,-0.0341105806526634,0.0341105806526634
VP,44,q95,576,0.03276958065770133,0.03276958065770133
VP,45,soil_porosity,577,-0.020524084918970932,0.020524084918970932
VP,46,organic_frac,577,-0.018215347817617487,0.018215347817617487
VP,47,soil_conductivity,577,0.01616996257685691,0.01616996257685691
VP,48,baseflow_index,577,0.016103181367010874,0.016103181367010874
VP,49,pet_mean,577,-0.01318661044711356,0.01318661044711356
VP,50,water_frac,577,-0.012617601969344834,0.012617601969344834
